@relation FootballPlayers

@attribute "Age_Group" { "Peak" , "Talent" , "Veteran" , "Emerging" } 
@attribute "Position" { "AM" , "CF" , "M" , "CB" , "FB" } 
@attribute "comp_name" { "Serie A" , "1.Bundesliga" , "Ligue 1" , "2.Bundesliga" , "Jupiler Pro League" , "Eredivisie" , "La Liga" , "Tippeligaen" , "Segunda Divisi" , "Bundesliga" , "Ligue 2" } 
@attribute "nation" { "Italy" , "Germany" , "France" , "Belgium" , "Netherlands" , "Spain" , "Norway" , "Austria" } 
@attribute "Passes_p90" numeric
@attribute "Passing_Accuracy" numeric
@attribute "Ball_Retention" numeric
@attribute "Passes_Final_Third_p90" numeric
@attribute "Passes_Final_Third_Accuracy" numeric
@attribute "Passes_Forward_p90" numeric
@attribute "Pass_Forward_Success" numeric
@attribute "Opposition_Half_Entries_p90" numeric
@attribute "Opposition_Half_Entries_Accuracy" numeric
@attribute "Final_Third_Entries_p90" numeric
@attribute "Final_Third_Entries_Accuracy" numeric
@attribute "Penalty_Area_Entries_p90" numeric
@attribute "Long_Passes_p90" numeric
@attribute "Long_Balls_Retained_Final_Third_p90" numeric
@attribute "Long_Balls_Receiver_Final_Third_p90" numeric
@attribute "Long_Ball_Retention" numeric
@attribute "Successful_Layoffs_p90" numeric
@attribute "Tackles_p90" numeric
@attribute "Tackles_Att_Third_p90" numeric
@attribute "Tackles_Channels_p90" numeric
@attribute "Interceptions_p90" numeric
@attribute "Int_Att_Third_p90" numeric
@attribute "Int_Channels_p90" numeric
@attribute "Recoveries_p90" numeric
@attribute "Recoveries_Att_third_p90" numeric
@attribute "Recoveries_Channels_p90" numeric
@attribute "Blocks_p90" numeric
@attribute "Def_Ground_Duels_Won_Perc" numeric
@attribute "Def_Aerial_Duels_Won_p90" numeric
@attribute "Def_Aerial_Duels_Won_Perc" numeric
@attribute "Headed_Clearances_p90" numeric
@attribute "First_Def_Contact_p90" numeric
@attribute "Att_Aerial_Duels_Won_p90" numeric
@attribute "Att_Aerial_Duels_Won_Perc" numeric
@attribute "First_Att_Contact_p90" numeric
@attribute "Headed_Shots_on_Target_p90" numeric
@attribute "Dribbles_Completed_p90" numeric
@attribute "Dribbles_Final_Third_p90" numeric
@attribute "Att_Ground_Duels_Won_Perc" numeric
@attribute "Crosses_p90" numeric
@attribute "Succ_Crosses_p90" numeric
@attribute "Key_Passes_p90" numeric
@attribute "Assists_p90" numeric
@attribute "Chances_Created_p90" numeric
@attribute "ExpA_p90" numeric
@attribute "Shots_p90" numeric
@attribute "Shooting_Accuracy" numeric
@attribute "Balls_Received_in_Channel_p90" numeric
@attribute "Balls_Received_in_Area_p90" numeric
@attribute "Balls_Received_in_Final_Third_p90" numeric
@attribute "Goals_p90" numeric
@attribute "ExpG_p90" numeric
@attribute "ExpG_Ratio" numeric
@attribute "Conversion_Rate" numeric
@attribute "Chance_Conversion" numeric
@attribute "Usage_perc" numeric
@attribute target { 0 , 1 } 


@data
"Peak" , "AM" , "Serie A" , "Italy" , 41.8945 , 0.8605 , 0.7445 , 23.6265 , 0.8247 , 10.23 , 0.7023785714 , 1.46143437077131 , 0.521739130434783 , 4.50608930987821 , 0.770833333333333 , 4.14073071718539 , 2.8011 , 0.487144790257104 , 0.730717185385656 , 0.666666666666667 , 3.5318 , 1.5832 , 0.365358592692828 , 0.487144790257104 , 0.4871 , 0 , 0.121786197564276 , 4.2625 , 0.60893098782138 , 0.852503382949932 , 0.1218 , 0.8667 , 0.1218 , 0.2 , 0.1218 , 0.121786197564276 , 0.3654 , 0.2727 , 0.487144790257104 , 0 , 1.705 , 0.852503382949932 , 0.3256 , 6.5765 , 1.2179 , 2.6793 , 0.3654 , 0.1218 , 0.168243529647049 , 0.9743 , 0.25 , 20.5818673883626 , 0.121786197564276 , 20.5818673883626 , 0.1218 , 0.110042875547969 , 1.10671587740533 , 0.125 , 0 , 0.5656625 , 0 
"Talent" , "CF" , "Serie A" , "Italy" , 25.2449 , 0.7619 , 0.56 , 11.8611 , 0.6351 , 6.3313 , 0.6329240506 , 0.881567230632235 , 0.5 , 1.52270703472841 , 0.633333333333333 , 1.36242208370436 , 1.2823 , 0.801424755120214 , 1.92341941228851 , 0.416666666666667 , 1.4426 , 0.8816 , 0.160284951024043 , 0.400712377560107 , 0.2404 , 0 , 0 , 3.7667 , 0.320569902048085 , 1.04185218165628 , 0.1603 , 0.6111 , 0.2404 , 0.5 , 0.6411 , 0.56099732858415 , 0.9617 , 0.4286 , 0.240427426536064 , 0 , 1.6028 , 1.28227960819234 , 0.2985 , 4.0873 , 0.4809 , 1.0419 , 0.1603 , 0.2404 , 0.146418198694424 , 2.3241 , 0.3448 , 16.9100623330365 , 2.56455921638468 , 18.0320569902048 , 0.2404 , 0.41677041273957 , 0.576882185459507 , 0.1034 , 0.1667 , 0.5672 , 1 
"Talent" , "AM" , "1.Bundesliga" , "Germany" , 44.5367 , 0.81 , 0.6768 , 19.4578 , 0.7333 , 12.7248 , 0.6019436893 , 1.6060398078243 , 0.565217391304348 , 3.21207961564859 , 0.722222222222222 , 1.35895676046671 , 2.5944 , 0.30885380919698 , 0.432395332875772 , 0.714285714285714 , 5.4358 , 2.9032 , 0.92656142759094 , 0.61770761839396 , 0.9883 , 0.30885380919698 , 0.123541523678792 , 5.7447 , 1.66781056966369 , 0.432395332875772 , 0.2471 , 0.6351 , 0.2471 , 0.25 , 0 , 0.185312285518188 , 0.6177 , 0.4762 , 1.23541523678792 , 0.1235 , 1.6678 , 0.803019903912148 , 0.4426 , 1.359 , 0.3706 , 1.2972 , 0.4324 , 0.6177 , 0.184440308371895 , 1.2972 , 0.4762 , 9.45092656142759 , 1.23541523678792 , 11.3040494166095 , 0.2471 , 0.115017594429926 , 2.14821957094677 , 0.1905 , 0.6667 , 0.852 , 1 
"Peak" , "AM" , "Ligue 1" , "France" , 25.3306 , 0.7651 , 0.6177 , 10.1638 , 0.6684 , 4.371 , 0.4698855422 , 0.684610883557636 , 0.30952380952381 , 1.05324751316559 , 0.408163265306122 , 0.315974253949678 , 0.6846 , 0.842598010532475 , 1.15857226448215 , 0.727272727272727 , 2.0012 , 0.5793 , 0.105324751316559 , 0.263311878291398 , 0.474 , 0.105324751316559 , 0 , 2.4225 , 0.368636629607958 , 0.473961380924517 , 0 , 0.6111 , 0.316 , 0.3333 , 0.2106 , 0.210649502633119 , 2.3171 , 0.3308 , 0.0526623756582797 , 0.1053 , 0.4213 , 0.421299005266238 , 0.2353 , 0.8953 , 0.2106 , 0.4213 , 0.0527 , 0.0527 , 0.0398954421758149 , 2.2645 , 0.6279 , 9.32124049151551 , 2.00117027501463 , 12.8496196606202 , 0.4213 , 0.327136564084942 , 1.28783832661654 , 0.186 , 0.3846 , 0.9042 , 1 
"Peak" , "AM" , "Ligue 1" , "France" , 56.5962 , 0.8094 , 0.7277 , 15.4038 , 0.6779 , 20.25 , 0.6552709402 , 7.67307692307692 , 0.682051282051282 , 6.40384615384615 , 0.641618497109827 , 1.09615384615385 , 3.2308 , 0.115384615384615 , 0.173076923076923 , 0.666666666666667 , 1.1538 , 3.8654 , 0.230769230769231 , 1.21153846153846 , 1.7885 , 0.173076923076923 , 0.230769230769231 , 8.6538 , 0.519230769230769 , 1.96153846153846 , 0.1731 , 0.6907 , 1.2115 , 0.6364 , 0.4038 , 0.230769230769231 , 0.8077 , 0.6087 , 0.115384615384615 , 0.1154 , 1.6154 , 0.346153846153846 , 0.6364 , 0.5192 , 0.1154 , 0.8077 , 0 , 0 , 0.0449674555121667 , 1.0962 , 0.2632 , 4.5 , 0.519230769230769 , 4.67307692307692 , 0.1154 , 0.0657763729670228 , 1.75419546837074 , 0.1053 , 0.335266666666667 , 0.8667 , 0 
"Peak" , "M" , "1.Bundesliga" , "Germany" , 50.6731 , 0.814 , 0.6971 , 8.3654 , 0.6667 , 15.6731 , 0.5460196319 , 5.09615384615385 , 0.6625 , 3.65384615384615 , 0.584615384615385 , 0.480769230769231 , 5.4808 , 0 , 0 , 0.572175188548516 , 4.3269 , 2.2115 , 0 , 0.480769230769231 , 4.1346 , 0.192307692307692 , 0.865384615384615 , 3.4615 , 0.192307692307692 , 0.384615384615385 , 0.4808 , 0.4792 , 1.0577 , 0.5789 , 0.6731 , 0.0961538461538462 , 0.7692 , 0.7273 , 0 , 0 , 0.9615 , 0.288461538461538 , 0.7692 , 0.1923 , 0.0962 , 0.3846 , 0 , 0 , 0.00666257078539113 , 0.3846 , 0.25 , 2.88461538461538 , 0.480769230769231 , 3.17307692307692 , 0 , 0.0136543355754687 , 0 , 0 , 0.467681081081081 , 0.6118 , 0 
"Veteran" , "CB" , "1.Bundesliga" , "Germany" , 43.0495 , 0.7476 , 0.6339 , 8.7771 , 0.3968 , 21.5944 , 0.5677406452 , 4.04024767801858 , 0.58 , 1.81114551083591 , 0.382352941176471 , 0 , 5.0155 , 0 , 0 , 0.620239913813356 , 0 , 1.6718 , 0.139318885448916 , 0.139318885448916 , 0.9752 , 0 , 0.278637770897833 , 3.483 , 0.139318885448916 , 1.25386996904025 , 0.2786 , 0.75 , 3.7616 , 0.8182 , 5.5728 , 2.92569659442724 , 0.2786 , 0.6667 , 1.11455108359133 , 0.2786 , 0.418 , 0.139318885448916 , 0.6 , 0.2786 , 0 , 0 , 0 , 0 , 0 , 0.5573 , 0.5 , 0.975232198142415 , 0.278637770897833 , 1.25386996904025 , 0 , 0 , 1.0212344635284 , 0 , 0.281610344827586 , 0.3778 , 0 
"Peak" , "CB" , "1.Bundesliga" , "Germany" , 68.673 , 0.8965 , 0.8636 , 5.1185 , 0.4722 , 20.9005 , 0.7483108844 , 10.521327014218 , 0.804347826086957 , 1.99052132701422 , 0.4375 , 0 , 7.8199 , 0.28436018957346 , 0.568720379146919 , 0.5 , 0 , 1.4218 , 0 , 0.568720379146919 , 2.4171 , 0 , 1.13744075829384 , 3.981 , 0 , 1.27962085308057 , 0.2844 , 0.625 , 1.4218 , 0.5 , 1.8483 , 0.28436018957346 , 0.8531 , 0.75 , 0.14218009478673 , 0 , 0.4265 , 0 , 1 , 0.1422 , 0 , 0.1422 , 0 , 0 , 0.00394113760669897 , 0.4265 , 0.6667 , 0.568720379146919 , 0.710900473933649 , 1.99052132701422 , 0.1422 , 0.0307546137831941 , 4.62304926958388 , 0.3333 , 0.281610344827586 , 0.4137 , 1 
"Peak" , "CF" , "2.Bundesliga" , "Germany" , 25.3605 , 0.7407 , 0.4454 , 9.5636 , 0.6071 , 4.7818 , 0.589275 , 0.170777988614801 , 0.5 , 1.19544592030361 , 0.875 , 1.0246679316888 , 0.0854 , 0.426944971537002 , 1.1100569259962 , 0.384615384615385 , 0.8539 , 1.2808 , 0.512333965844402 , 0.256166982922201 , 0.5977 , 0.426944971537002 , 0 , 2.5617 , 0.512333965844402 , 0.426944971537002 , 0.1708 , 0.7143 , 0.6831 , 0.5714 , 0.8539 , 0.853889943074004 , 1.2808 , 0.3191 , 0.170777988614801 , 0.0854 , 1.3662 , 0.683111954459203 , 0.2857 , 0.0854 , 0 , 0.9393 , 0.2562 , 0.2562 , 0.142639870973499 , 1.4516 , 0.7059 , 7.77039848197343 , 1.79316888045541 , 12.1252371916509 , 0.5977 , 0.272310534586059 , 2.19500490886408 , 0.4118 , 0.5 , 0.6889 , 1 
"Veteran" , "M" , "Jupiler Pro League" , "Belgium" , 24.1228 , 0.7564 , 0.6106 , 9.2105 , 0.6 , 6.4912 , 0.5675662162 , 0.350877192982456 , 0.8 , 0.43859649122807 , 0.833333333333333 , 0.087719298245614 , 0.614 , 0.43859649122807 , 0.43859649122807 , 1 , 1.3158 , 0.8772 , 0.175438596491228 , 0.175438596491228 , 0.7895 , 0.175438596491228 , 0.175438596491228 , 3.1579 , 0.350877192982456 , 0.964912280701754 , 0.0877 , 0.625 , 0.4386 , 0.5 , 0.7895 , 2.19298245614035 , 1.2281 , 0.5385 , 4.82456140350877 , 0.2632 , 0.0877 , 0 , 0.1667 , 0.614 , 0.2632 , 0.8772 , 0.2632 , 0.1754 , 0.0622826384443093 , 1.4912 , 0.2353 , 2.10526315789474 , 0.701754385964912 , 2.71929824561404 , 0 , 0.059223623585542 , 0 , 0 , 0 , 0.4957 , 0 
