Dataset,Accuracy,Balanced Accuracy,AUC
statlog-vehicle,67.2170,0.6719,0.8707
wine-quality-white,47.0828,0.2084,0.6470
ozone,97.0055,0.4996,0.6953
iris,94.6667,0.9467,0.9735
glass,61.4679,0.4963,0.8194
ecoli,ionosphere,84.0909,0.7848,0.9566
breast-tissue,64.8148,0.6371,0.8496
yeast,oocytes_trisopterus_states_5b,84.6827,0.6970,0.9171
twonorm,95.8930,0.9589,0.9923
seeds,90.4762,0.9048,0.9745
wall-following,75.5955,0.7193,0.9153
vertebral-column-3clases,71.6129,0.6667,0.8649
spambase,84.2677,0.8284,0.9241
ringnorm,76.6216,0.7639,0.9563
oocytes_merluccius_nucleus_4d,66.9922,0.5735,0.6587
hill-valley,52.6403,0.5264,0.5124
parkinsons,88.7755,0.7849,0.9071
blood,libras,47.7778,0.4778,0.9383
steel-plates,61.3169,0.5912,0.8818
statlog-landsat,86.0516,0.8386,0.9676
page-blocks,91.8919,0.3812,0.9344
waveform-noise,70.2519,0.7033,0.8829
synthetic-control,94.6667,0.9467,0.9974
planning,71.4286,0.5808,0.5405
post-operative,bank,optical,92.7072,0.9272,0.9934
