Dataset,Accuracy,Balanced Accuracy,AUC
statlog-vehicle,68.9858,0.6909,0.8841
wine-quality-white,51.0608,0.2432,0.6602
ozone,97.0449,0.5129,0.7298
iris,96.0000,0.9600,0.9838
glass,61.4679,0.4601,0.8204
ecoli,ionosphere,83.5227,0.7769,0.9174
breast-tissue,64.8148,0.6296,0.8708
yeast,oocytes_trisopterus_states_5b,86.4333,0.7118,0.9283
twonorm,96.3118,0.9631,0.9917
seeds,90.9524,0.9095,0.9812
wall-following,79.6995,0.7761,0.9384
vertebral-column-3clases,74.1935,0.7056,0.8895
spambase,87.1795,0.8609,0.9384
ringnorm,71.3514,0.7107,0.8887
oocytes_merluccius_nucleus_4d,70.3125,0.6313,0.7009
hill-valley,51.4026,0.5140,0.5140
parkinsons,88.7755,0.7779,0.9165
blood,libras,55.5556,0.5556,0.9373
steel-plates,66.2551,0.6736,0.8978
statlog-landsat,87.6359,0.8544,0.9710
page-blocks,94.0650,0.5531,0.9378
waveform-noise,73.4306,0.7349,0.9022
synthetic-control,95.8333,0.9583,0.9987
planning,69.2308,0.5423,0.5176
post-operative,bank,optical,94.8951,0.9490,0.9946
