Dataset,Accuracy,Balanced Accuracy,AUC
statlog-vehicle,70.9906,0.7113,0.8965
statlog-vehicle,71.1085,0.7125,0.8980
statlog-vehicle,70.2830,0.7039,0.8957
statlog-vehicle,70.7547,0.7090,0.8969
statlog-vehicle,69.6934,0.6981,0.8959
wine-quality-white,ozone,96.8479,0.5447,0.8054
ozone,96.8479,0.5447,0.8048
ozone,96.8479,0.5447,0.8032
ozone,96.8479,0.5447,0.8056
ozone,96.8479,0.5447,0.8040
iris,92.6667,0.9267,0.9851
iris,92.6667,0.9267,0.9881
iris,92.0000,0.9200,0.9793
iris,92.6667,0.9267,0.9832
iris,92.6667,0.9267,0.9799
glass,63.7615,0.5231,0.8525
glass,63.7615,0.5231,0.8493
glass,62.8440,0.5187,0.8535
glass,63.3028,0.5209,0.8453
glass,63.3028,0.5209,0.8433
ecoli,ionosphere,90.9091,0.8765,0.9635
ionosphere,90.6250,0.8726,0.9539
ionosphere,89.7727,0.8607,0.9522
ionosphere,89.7727,0.8607,0.9504
ionosphere,89.7727,0.8607,0.9628
breast-tissue,60.1852,0.5824,0.8467
breast-tissue,60.1852,0.5824,0.8614
breast-tissue,60.1852,0.5824,0.8604
breast-tissue,60.1852,0.5824,0.8555
breast-tissue,60.1852,0.5824,0.8518
yeast,oocytes_trisopterus_states_5b,87.7462,0.7722,0.9340
oocytes_trisopterus_states_5b,87.7462,0.7264,0.9342
oocytes_trisopterus_states_5b,87.1991,0.7222,0.9313
oocytes_trisopterus_states_5b,88.0744,0.8202,0.9339
oocytes_trisopterus_states_5b,87.8556,0.7960,0.9346
twonorm,96.7711,0.9677,0.9908
twonorm,96.6090,0.9661,0.9907
twonorm,96.4874,0.9649,0.9904
twonorm,96.5280,0.9653,0.9898
twonorm,96.7306,0.9673,0.9908
seeds,90.9524,0.9095,0.9825
seeds,90.9524,0.9095,0.9808
seeds,90.9524,0.9095,0.9811
seeds,90.9524,0.9095,0.9813
seeds,91.4286,0.9143,0.9827
wall-following,82.2279,0.8155,0.9255
wall-following,81.9531,0.8127,0.9253
wall-following,81.5683,0.8077,0.9251
wall-following,81.8065,0.8079,0.9267
wall-following,81.6416,0.8082,0.9255
vertebral-column-3clases,79.0323,0.7378,0.9222
vertebral-column-3clases,78.3871,0.7267,0.9219
vertebral-column-3clases,78.3871,0.7289,0.9222
vertebral-column-3clases,78.7097,0.7322,0.9226
vertebral-column-3clases,79.0323,0.7367,0.9241
spambase,88.8092,0.8710,0.9328
spambase,85.4846,0.8270,0.9218
spambase,89.8740,0.8850,0.9324
spambase,86.5711,0.8424,0.9191
spambase,88.1573,0.8633,0.9268
ringnorm,84.3919,0.8426,0.9516
ringnorm,83.8243,0.8369,0.9494
ringnorm,83.9595,0.8382,0.9517
ringnorm,84.2568,0.8412,0.9522
ringnorm,84.4054,0.8427,0.9517
oocytes_merluccius_nucleus_4d,76.0742,0.7201,0.7938
oocytes_merluccius_nucleus_4d,75.9766,0.7186,0.7903
oocytes_merluccius_nucleus_4d,75.6836,0.7195,0.7887
oocytes_merluccius_nucleus_4d,75.8789,0.7179,0.7896
oocytes_merluccius_nucleus_4d,75.4883,0.7165,0.7868
hill-valley,48.6799,0.4868,0.5027
hill-valley,49.2574,0.4926,0.5080
hill-valley,49.2574,0.4926,0.5125
hill-valley,49.0924,0.4909,0.5121
hill-valley,49.2574,0.4926,0.5068
parkinsons,87.2449,0.7748,0.9372
parkinsons,86.7347,0.7644,0.9416
parkinsons,86.7347,0.7644,0.9345
parkinsons,87.2449,0.7748,0.9413
parkinsons,87.2449,0.7748,0.9403
blood,libras,59.1667,0.5917,0.8788
libras,59.7222,0.5972,0.8793
libras,61.1111,0.6111,0.8812
libras,60.0000,0.6000,0.8728
libras,58.6111,0.5861,0.8692
steel-plates,67.9012,0.6849,0.8849
steel-plates,67.1296,0.6743,0.8804
steel-plates,68.0556,0.6810,0.8816
steel-plates,67.9012,0.6853,0.8827
steel-plates,67.8498,0.6858,0.8838
statlog-landsat,88.3038,0.8659,0.9681
statlog-landsat,88.1485,0.8636,0.9680
statlog-landsat,page-blocks,94.6494,0.4911,0.9283
page-blocks,94.3024,0.4718,0.9436
page-blocks,93.2980,0.4078,0.9357
page-blocks,waveform-noise,76.5294,0.7658,0.9063
waveform-noise,77.0692,0.7711,0.9107
waveform-noise,76.3095,0.7635,0.9027
waveform-noise,77.1092,0.7716,0.9090
waveform-noise,77.4290,0.7747,0.9113
synthetic-control,97.1667,0.9717,0.9966
synthetic-control,95.8333,0.9583,0.9963
synthetic-control,97.5000,0.9750,0.9992
synthetic-control,95.8333,0.9583,0.9960
synthetic-control,96.6667,0.9667,0.9979
planning,58.2418,0.4308,0.4284
planning,58.2418,0.4308,0.4077
planning,58.2418,0.4308,0.4113
planning,58.2418,0.4308,0.4129
planning,58.2418,0.4308,0.4083
post-operative,bank,optical,96.1402,0.9614,0.9948
optical,96.4959,0.9650,0.9956
optical,96.3180,0.9632,0.9949
optical,96.2825,0.9628,0.9956
optical,96.5137,0.9652,0.9952
